,ItemName,ManufactureName,UnitQty,Quantity,QtyInPackage,ItemPrice,UnitOfMeasurePrice
0,גבינה מגורדת מעדנייה,תנובה - חלב,"ק""ג",,1,41.30,4.13
1,מסיכת הגנה 3 שכבות בודד,ספקים שונים,יח`,,1,9.90,9.90
2,מסיכת הגנה לפנים 50 יח`,ספקים שונים,יח`,,1,100,100
3,מסיכות בד שלישייה,אומנות התפירה,יח`,,1,19.90,19.90
4,KN95 בודד מסיכת פנים,גל-אור נכסים בעמ,יח`,,1,9.90,9.90
5,KN95 מארז 10  יח`מסיכת פנים,ספקים שונים,יח`,,1,69,69
6,הולנדית+שויצרית+צ`דר משקל,צ.י תעשיות מזון יבנה בעמ,"ק""ג",,1,37,3.70
7,מעושנת א.ח.נוכרי,צ.י תעשיות מזון יבנה בעמ,"ק""ג",,1,38,3.80
8,מקסיקנית א.ח נוכרי במישקל,צ.י תעשיות מזון יבנה בעמ,"ק""ג",,1,36,3.60
9,גבינה שום שמיר+זיתים במישקל,צ.י תעשיות מזון יבנה בעמ,"ק""ג",,1,36,3.60
10,דג סלמון נורבגי טרי שלם - נקי,מאסטרפוד בעמ,"ק""ג",,1,59.90,59.90
11,גבינת גלבוע 22% תנובה,תנובה - חלב,"ק""ג",,1,40.59,4.06
12,קולאג 23% פרמזן חריץ תנובה,תנובה - חלב,"ק""ג",,1,113,11.30
13,סקנדינבית 31% תנובה,תנובה - חלב,"ק""ג",,1,76,7.60
14,בולגרית 24% פח 3  קג`תנובה,תנובה - חלב,"ק""ג",,1,56,5.60
15,טל העמק 9% חריץ תנובה,תנובה - חלב,"ק""ג",,1,82,8.20
16,טל העמק 32% צהובה,תנובה - חלב,"ק""ג",,1,55,5.50
17,עמק פיקוח 28% צהובה מעדנייה,תנובה - חלב,"ק""ג",,1,42.70,4.27
18,בלוז מעדנייה שטראוס,שטראוס גרופ בעמ/מצונן,"ק""ג",,1,50,5
19,פטינה מעדנייה שטראוס,שטראוס גרופ בעמ/מצונן,"ק""ג",,1,22,2.20
20,גבינה לבנה 5% טעמים במשקל,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,25,2.50
21,ממרח חמאה דנית מעדנייה שטראוס,שטראוס גרופ בעמ/מצונן,"ק""ג",,1,42,42
22,מסכה פלסטיק שלישייה,גרפיקה בצלאל בעמ,יח`,,1,22,22
23,אלכוגל מארז עשירייה 2 מל,ספקים שונים,יח`,,1,9.90,9.90
24,אמנון טרי נקי,מאסטרפוד בעמ,"ק""ג",,1,29.90,29.90
25,דג בורי טרי נקי,מאסטרפוד בעמ,"ק""ג",,1,39,39
26,דג ברמונדי נקי שלם,מאסטרפוד בעמ,"ק""ג",,1,49.90,49.90
27,גבנצ 28% נעם חריץ פיקוח מעדנייה,החב` המרכזית - טרה,"ק""ג",,1,42.70,4.27
28,גבנצ 22% נעם חריץ פיקוח מעדנייה,החב` המרכזית - טרה,"ק""ג",,1,39,3.90
29,לחמניות מקמח מלא ברמן) (6,י.את א. ברמן בעמ,יח`,,1,10.90,2.02
30,בולגרית 5% 16%  מעודנת- גד מעדניה,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,56,5.60
31,גבינת מוצרלה נקניק מעדנייה גד,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,80,8
32,גבינה צפתית רכה 5% מעדנייה גד,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,60,6
33,שמנות 30% בטעמים מעדנייה גד,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,45,4.50
34,דג קרפיון מצונן נקי,מאסטרפוד בעמ,"ק""ג",,1,32.90,32.90
35,סטייק עין קפוא פריגומרק מוביל,מאסטרפוד בעמ,"ק""ג",,1,49.90,49.90
36,בשר מס` 3 חזה,בלדי בעמ,"ק""ג",,1,29.90,2.99
37,דג מקרל ארוז,בלדי בעמ,"ק""ג",,1,19.90,19.90
38,מקרל פרוס בשמן מעדניה,סלטי שמיר 2006 בעמ,"ק""ג",,1,89,8.90
39,הרינג כבוש עם בצל מעדניה,סלטי שמיר 2006 בעמ,"ק""ג",,1,39,3.90
40,גבינת צדר אנגלית במשקל,נטו מלינדה סחר בעמ,"ק""ג",,1,104,10.40
41,גבינת צ`דר אנגלי כתום משקל,נטו מלינדה סחר בעמ,"ק""ג",,1,120,12
42,גבינת גאודה בתוספת תערובת בזיליקום ושום,ג.וילי-פוד אינטרנשיונל בעמ,"ק""ג",,1,80,8
43,גבינת ברי צרפתית מעדנייה וילי פוד,ג.וילי-פוד אינטרנשיונל בעמ,"ק""ג",,1,69,6.90
44,גבינת גרנה פנדו מעדנייה-וילי  פוד,ג.וילי-פוד אינטרנשיונל בעמ,"ק""ג",,1,80,8
45,גאודה סטייל גלגל מעדנייה-וילי  פוד,ג.וילי-פוד אינטרנשיונל בעמ,"ק""ג",,1,42,4.20
46,דנאבלו גבינה+עובש משקל,נטו מלינדה סחר בעמ,"ק""ג",,1,110,11
47,בשר מס` 2 צלעות,בלדי בעמ,"ק""ג",,1,29.90,2.99
48,חטיף שוקולד לבן עם שברי עוגיות הרשי 43 ג,ליימן שליסל בעמ,יח`,,1,4.90,4.90
49,חטיף שוקולד חלב עם חמאת בוטנים הרשי 42 ג,ליימן שליסל בעמ,יח`,,1,3.90,3.90
50,דג פילה מרלוזה סיני מוביל,ג.ת. שיווק בן בקר בעמ,"ק""ג",,1,19.90,1.99
51,פילה ברבוניה,ישראל פלדמן בעמ,יח`,,1,24.90,4.98
52,מטיאס הולנדי בשמן,סלטי שמיר 2006 בעמ,"ק""ג",,1,39,3.90
53,אמ אנד אם עדשי חמאת בוטנים 46 גרם,מרס ריגלי ישראל בעמ,יח`,,1,4.90,4.90
54,גאודה בקר משולש מעדנייה גד,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,108,10.80
55,גאודה עיזים משולש מעדנייה גד,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,132,13.20
56,שמנות 25% תנובה,תנובה - חלב,"ק""ג",,1,41,4.10
57,שמנות 25% תנובה,תנובה - חלב,"ק""ג",,1,41,4.10
58,נפוליאון 25%,תנובה - חלב,"ק""ג",,1,41,4.10
59,פיראוס בולגרית 5% מעודנת,תנובה - חלב,"ק""ג",,1,43,4.30
60,צפתית/מעודנת 5%,תנובה - חלב,"ק""ג",,1,51,5.10
61,סגנון פטה,נטו מלינדה סחר בעמ,"ק""ג",,1,30,3
62,חמאה צהובה מעדניה,ג.וילי-פוד אינטרנשיונל בעמ,"ק""ג",,1,38,3.80
63,צ`דר  טריפל- מעדנייה,נטו מלינדה סחר בעמ,"ק""ג",,1,119,11.90
64,בולגרית 24% צוריאל,החב` המרכזית - טרה,"ק""ג",,1,48,4.80
65,נסיכת הנילוס שלם.,בשר לכל חיים פסקוביץ ובניו בעמ,"ק""ג",,1,24.90,2.49
66,גבינה חצי קשה גאודה,ג.וילי-פוד אינטרנשיונל בעמ,"ק""ג",,1,29,2.90
67,גבינה קשה למחצה אמנטל 28% שומן,ג.וילי-פוד אינטרנשיונל בעמ,"ק""ג",,1,69,6.90
68,מצוני 5 ליטר יבנה,צ.י תעשיות מזון יבנה בעמ,"ק""ג",,1,10,1
69,גבינת טבורוג 5% יבנה,צ.י תעשיות מזון יבנה בעמ,"ק""ג",,1,22,2.20
70,גבינת צימוקים יבנה,צ.י תעשיות מזון יבנה בעמ,"ק""ג",,1,23,2.30
71,פילה סלמון,נ.ת.נ.ג.ב החזקות יעוץ וניהול ב,"ק""ג",,1,69.90,6.99
72,פילה אמנון (מושט) קפוא,נטו בשרים,"ק""ג",,1,29.90,2.99
73,פילה סלמון מנות מ,נ.ת.נ.ג.ב החזקות יעוץ וניהול ב,"ק""ג",,1,74.90,7.49
74,טונה פרוס בוואקום,גול סחר בעמ,"ק""ג",,1,39.90,3.99
75,בשר מס` 6 פילה מדומה,אדום גרופ למזון שיווק והפצה בע,"ק""ג",,1,34.90,3.49
76,בשר  מס`8 שריר,בלדי בעמ,"ק""ג",,1,29.90,2.99
77,פרמז`נו במשקל,ג.וילי-פוד אינטרנשיונל בעמ,"ק""ג",,1,95,9.50
78,כתף בקר 3% שומן זוגלובק (300 גרם),זוגלובק שיווק בעמ,יח`,,1,28.90,9.63
79,מוצרלה מגורדת,צ.י תעשיות מזון יבנה בעמ,"ק""ג",,1,45,4.50
80,גידים חלק מוביל,בלדי בעמ,"ק""ג",,1,59.90,5.99
81,סלמון הילטון מצונן מעדניה,נטו מלינדה סחר בעמ,"ק""ג",,1,179,179
82,באונטי חטיף שוקולד קוקוס 57 גרם,מרס ריגלי ישראל בעמ,יח`,,1,3.90,6.84
83,מסטיק ספירמינט אורביט (14  יח`- 27 גרם),מרס ריגלי ישראל בעמ,יח`,,1,5.90,21.85
84,5 בטעם מנטה,מרס ריגלי ישראל בעמ,יח`,,1,7.50,24.19
85,5 בטעם מנטה עדינה,מרס ריגלי ישראל בעמ,יח`,,1,7.50,24.19
86,מסטיק 5 בטעם אבטיח,מרס ריגלי ישראל בעמ,יח`,,1,7.50,24.19
87,כבד דג שיבוט במיץ טבעי אופיסר (120 גרם),דיפלומט היינץ,יח`,,1,13.90,11.58
88,חטיף אגוזי עלית (45 גרם),שטראוס גרופ בעמ,יח`,,1,3.90,8.67
89,חטיף טעמי עלית (40 גרם),שטראוס גרופ בעמ,יח`,,1,3.90,9.75
90,חטיף מקופלת עלית (25 גרם),שטראוס גרופ בעמ,יח`,,1,3.90,15.60
91,פסק זמן חטיף קלאסי עלית (45 גרם),שטראוס גרופ בעמ,יח`,,1,4.90,10.89
92,טוויסט,שטראוס גרופ בעמ,יח`,,1,3.90,13.93
93,מילקי שוקו,שטראוס גרופ בעמ/מצונן,יח`,,1,2.70,2.08
94,מילקי פי 2 קצפת,שטראוס גרופ בעמ/מצונן,יח`,,1,3.70,2.18
95,כרוב אדום 250,שטראוס גרופ בעמ/מצונן,יח`,,1,8.90,3.56
96,שמרים טריים קובייה שמרית (50 גרם),שטראוס גרופ בעמ/מצונן,יח`,,1,3.50,7
97,יוגורט עם תות 1.5% פרילי (125 גרם),תנובה - חלב,יח`,,1,3.50,2.80
98,יוגורט עם אננס 1.5% פרילי (125 גרם),תנובה - חלב,יח`,,1,3.50,2.80
99,שמנת של פעם 27% תנובה (200 גרם),תנובה - חלב,יח`,,1,4.20,2.10
100,גלידת פיינטים וניל צרפתי בן אנד גריס,מוצרי איכות אמריקאיים בעמ,יח`,,1,19.90,4.74
101,גלידת פיינטים קרם עוגיות,מוצרי איכות אמריקאיים בעמ,יח`,,1,19.90,4.74
102,גלידת פיינטים טופי קרנץ,מוצרי איכות אמריקאיים בעמ,יח`,,1,19.90,4.74
103,גלידת פיינטים ניו-יורק סופר,מוצרי איכות אמריקאיים בעמ,יח`,,1,19.90,4.74
104,גלידת פיינטים צאנקי מנקי,מוצרי איכות אמריקאיים בעמ,יח`,,1,19.90,4.74
105,גלידת פיינטים שוקולד בראוניס,מוצרי איכות אמריקאיים בעמ,יח`,,1,19.90,4.74
106,גלידת פיינטים בן אנד גריס פיינט 750 מל,מוצרי איכות אמריקאיים בעמ,יח`,,1,19.90,2.65
107,דני שוקולד בודד,שטראוס גרופ בעמ/מצונן,יח`,,1,2.60,2.08
108,Good2 פסק זמן 36 גרם,שטראוס גרופ בעמ,יח`,,1,4.90,13.61
109,וופל גרדנה 38 גר`,ליימן שליסל בעמ,יח`,,1,4,4
110,מסטיק מנטוס פיור פרש בבקבוק בינוני בטעם,ליימן שליסל בעמ,יח`,,1,9.90,16.50
111,מסטיק מנטוס וויט מנטה פירות,ליימן שליסל בעמ,יח`,,1,9.90,9.90
112,מסטיק מנטוס פיור פרש בקבוק בינוני בטעם ת,ליימן שליסל בעמ,יח`,,1,9.90,16.50
113,מסטיק מנטוס בבקבוק מעוגל בטעם פירות מנטה,ליימן שליסל בעמ,יח`,,1,9.90,16.50
114,מסטיק מנטוס וויט מנטה,ליימן שליסל בעמ,יח`,,1,9.90,9.90
115,מסטיק מנטוס וויט מנטה עדינה,ליימן שליסל בעמ,יח`,,1,9.90,9.90
116,מסטיק מנטוס פיור פרש בקבוק בינוני בטעם א,ליימן שליסל בעמ,יח`,,1,9.90,16.50
117,מסטיק מנטוס בבקבוק מעוגל בטעם מנטה 60 גר,ליימן שליסל בעמ,יח`,,1,9.90,16.50
118,מסטיק מנטוס פיור בבקבוק בינוני בטעם טרופ,ליימן שליסל בעמ,יח`,,1,9.90,16.50
119,מנטוס גליל טעם מנטה (37.5 גרם),ליימן שליסל בעמ,יח`,,1,3.90,10.40
120,סוכריות לעיסה בטעם תות מנטוס (37.5 גרם),ליימן שליסל בעמ,יח`,,1,3.90,10.54
121,מנטוס גליל 7 טעמים,ליימן שליסל בעמ,יח`,,1,3.90,10.40
122,דאודורנט רול און דאב ריח אגס(50 מל),יוניליוור ישראל שיווק בעמ,יח`,,1,14.90,29.80
123,קינג קול שעועית אדומה כהה 439 גרם,מור-ים מרקטינג בעמ,יח`,,1,9.90,2.26
124,נייטשר וואלי 210 גר` שיבולת שועל ושוקולד,ליימן שליסל בעמ,יח`,,1,19.90,9.48
125,נייטשר וואלי 210 גר` שיבולת שועל ודבש,ליימן שליסל בעמ,יח`,,1,19.90,11.37
126,נייטשר וואלי 210 גר` מייפל וסוכר חום,ליימן שליסל בעמ,יח`,,1,19.90,9.48
127,פילסברי תערובת שוקולד,ליימן שליסל בעמ,יח`,,1,18.90,3.66
128,פילסברי תערובת שיש,ליימן שליסל בעמ,יח`,,1,18.90,3.38
129,נטיפי שוקולד מריר לאפייה 340 גר הרשי,ליימן שליסל בעמ,יח`,,1,19.90,5.85
130,חטיף גומ טויז תות,ליימן שליסל בעמ,יח`,,1,8.90,4.49
131,ממחטות לושן שלוש שכבות קלינקס (120),קימברלי קלארק ישראל שיווק בעמ,יח`,,1,19.90,4.80
132,חמאת בוטנים עם שברי בוטנים 462ג סקיפי,דיפלומט היינץ,יח`,,1,19.90,4.31
133,חמאת בוטנים סקיפי עם דבש 462 גרם,דיפלומט היינץ,יח`,,1,19.90,4.31
134,פרינגלס ביג ברביקין 158 גר,דיפלומט היינץ,יח`,,1,9.90,6.27
135,פרינגלס ביג שמנת בצל 158 גר,דיפלומט היינץ,יח`,,1,9.90,6.27
136,חטיף צ`יפס אורגינל ביג פרינגלס (149 גרם),דיפלומט היינץ,יח`,,1,9.90,6.64
137,עדשי שוקולד קרספים אם אנד אם (38 גרם),מרס ריגלי ישראל בעמ,יח`,,1,4.90,12.89
138,רוטב סויה דל נתרן קיקומן (444 מל),דיפלומט היינץ,יח`,,1,29.90,6.73
139,עוגיות שוקולד צ`יפס מרבה (225 גרם),ש.שסטוביץ בעמ,יח`,,1,9.90,4.40
140,רביעיות רסק תפוחי עץ תות שדה ללא תוספת ס,מור-ים מרקטינג בעמ,יח`,,1,13.90,3.08
141,רביעיות רסק תפוחי עץ ללא תוספת סוכר 452,מור-ים מרקטינג בעמ,יח`,,1,13.90,3.08
142,צנצנת רסק תפוחי עץ ללא סוספת סוכר אפלסנק,מור-ים מרקטינג בעמ,יח`,,1,14.90,2.29
143,תרסיס שמן קנולה בטעם חמאה פאם (148 מל),ליימן שליסל בעמ,יח`,,1,20.90,14.82
144,תרסיס שמן זית פאם (148 מל),ליימן שליסל בעמ,יח`,,1,20.90,14.82
145,תרסיס שמן קנולה פאם (148 מל),ליימן שליסל בעמ,יח`,,1,20.90,14.12
146,גלידה וניל+בצק  עוגיות ושוקולד ציפס 473ג,מוצרי איכות אמריקאיים בעמ,יח`,,1,19.90,4.21
147,גלידת בן אנד ג`ריס שוקולד עם מרשמלו,מוצרי איכות אמריקאיים בעמ,יח`,,1,19.90,3.98
148,גלידת פיינטים בן אנד גריס פיינט תות,מוצרי איכות אמריקאיים בעמ,יח`,,1,19.90,2.65
149,גלידת פיינטים וניל שמנת משובחת 500 מל,מוצרי איכות אמריקאיים בעמ,יח`,,1,19.90,3.98
150,סוכריות ללא סוכר בטעם מנטה מאסט (80 גרם),שטראוס גרופ בעמ,יח`,,1,8.90,11.13
151,סניידרס בייגלה במילוי קרם צ`דר,ליימן שליסל בעמ,יח`,,1,19.90,8.77
152,סניידרס שברי בייגל בטעם גבינת צ`אדר,ליימן שליסל בעמ,יח`,,1,13.90,4.09
153,סניידרס שברי בייגל בטעם בצל חרדל ודבש,ליימן שליסל בעמ,יח`,,1,13.90,4.09
154,סניידרס שברי בייגלה חלפינו 340ג,ליימן שליסל בעמ,יח`,,1,13.90,4.09
155,סנדביץ בייגלה במילוי קרם בטעם פיצה,ליימן שליסל בעמ,יח`,,1,19.90,8.77
156,סניידרס שברי בייגלה במילוי חמאת בוטנים,ליימן שליסל בעמ,יח`,,1,13.90,4.90
157,רוטב סויה מופחת נתרן קיקומן (296 מל),דיפלומט היינץ,יח`,,1,12.90,4.36
158,פופקורנס טבעי עם מלח ים 50 גר,אבאל יזמות בעמ,יח`,,1,4.90,9.80
159,פופקורנס טעם בצל 50 גר,אבאל יזמות בעמ,יח`,,1,4.90,9.80
160,פופקורנס טעם גבינה 50 גר,אבאל יזמות בעמ,יח`,,1,4.90,9.80
161,פופקורנס טעם גריל 50 גר,אבאל יזמות בעמ,יח`,,1,4.90,9.80
162,פופקורנס קרמל מלוח 50 גר,אבאל יזמות בעמ,יח`,,1,4.90,9.80
163,קוסקוס 350 גר` גודל בינוני 100% חיטת דור,אבאל יזמות בעמ,יח`,,1,4.90,1.40
164,ספירל פסטה אורז 454  גר`טינקיאדה,מור-ים מרקטינג בעמ,יח`,,1,19.90,4.38
165,ערכה ליולדת ע,די.אנ.איי. נטוורקינג בעמ***לא,יח`,,1,199,199
166,נר נשמה בזכוכית לשבעה ימים הנמל,הנמל אריזות ושיווק (1984) בעמ,יח`,,1,8.90,8.90
167,מגש הכסף תבנית מלבן גדול 9 יח`,הנמל אריזות ושיווק (1984) בעמ,יח`,,1,9.90,9.90
168,מפה שולחן 8 יח עבה ניילון הנמל,הנמל אריזות ושיווק (1984) בעמ,יח`,,1,9.90,22
169,ריבת חלב 340 גר הנמל,הנמל אריזות ושיווק (1984) בעמ,יח`,,1,11.90,3.50
170,שקיות מזון הנמל) (150x2,הנמל אריזות ושיווק (1984) בעמ,יח`,,1,9.90,9.90
171,הנמל שקיות אשפה עם ידיות 25 יח 90*75,הנמל אריזות ושיווק (1984) בעמ,יח`,,1,15.90,15.90
172,מגש הכסף תבנית מרובע קטן+מכסה  10 יח`,הנמל אריזות ושיווק (1984) בעמ,יח`,,1,9.90,9.90
