,ChainID,StoreID,ItemCode,PromotionID,PromotionDescription,PromotionDescription2,PromotionStartDate,PromotionStartHour,PromotionEndDate,PromotionEndHour,MinPurchaseAmount,DiscountedPrice,DiscountedPricePerMida
33,72906,075,7290003457946,113548,*טילון 6ב30ש /מגנום בודד,טילון/מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,0
34,72906,075,7290003457953,113548,*טילון 6ב30ש /מגנום בודד,טילון/מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,0
35,72906,075,7290107647595,113548,*טילון 6ב30ש /מגנום בודד,טילון/מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,6.10
36,72906,075,7290107649858,113548,*טילון 6ב30ש /מגנום בודד,טילון/מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,5.88
37,72906,075,7290112499639,113548,*טילון 6ב30ש /מגנום בודד,טילון/מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,4.55
38,72906,075,7290112499745,113548,*טילון 6ב30ש /מגנום בודד,טילון/מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,5.56
39,72906,075,7290112499929,113548,*טילון 6ב30ש /מגנום בודד,טילון/מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,5.56
40,72906,075,18000701223,113549,*תערובת 2ב25ש פילסברי,תערובות פילסברי לעוגות,2020/05/03,06:00:00,2020/05/15,23:59:59,0,25,2.42
41,72906,075,5896439,113550,"*בירה 3+1 הזול מבניהם 500מ""ל חוזר","גולדסטאר/מכבי/הייניקן בקבוק 500 מ""ל חוזר",2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
42,72906,075,6764072,113550,"*בירה 3+1 הזול מבניהם 500מ""ל חוזר","גולדסטאר/מכבי/הייניקן בקבוק 500 מ""ל חוזר",2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
43,72906,075,6764157,113550,"*בירה 3+1 הזול מבניהם 500מ""ל חוזר","גולדסטאר/מכבי/הייניקן בקבוק 500 מ""ל חוזר",2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
44,72906,075,7290010237890,113550,"*בירה 3+1 הזול מבניהם 500מ""ל חוזר","גולדסטאר/מכבי/הייניקן בקבוק 500 מ""ל חוזר",2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
45,72906,075,7290013585349,113551,"*בירה 3ב89ש מנה 1/6 330מ""ל","בירה קורונה/הייניקן/קרלסברג שישייה 330 מ""ל",2020/05/03,06:00:00,2020/05/15,23:59:59,0,89,8.44
46,72906,075,7290001813881,113552,*פתי בר 3ב20ש 500ג עלית,פתיבר 500 גרם רגיל/שוקולד עלית,2020/05/03,06:00:00,2020/05/15,23:59:59,0,20,1.33
47,72906,075,2345022,113553,*סטייק 2ב25ש מינוט דק דק,אנטריקוט/סינטה דק דק קפוא 250 גרם מינוט,2020/05/03,06:00:00,2020/05/15,23:59:59,0,25,5
48,72906,075,7290104727726,113555,*מאגדת 2ב35ש שוקולד מריר 1/5,מאגדת חמישייה שוקולד מריר 100 גרם פרה,2020/05/03,06:00:00,2020/05/15,23:59:59,0,35,3.50
49,72906,075,7290003805501,113556,*פתית 2ב25ש 250/300ג,פתית תלמה 250/300 גרם,2020/05/03,06:00:00,2020/05/15,23:59:59,0,25,4.17
50,72906,075,7290003805587,113556,*פתית 2ב25ש 250/300ג,פתית תלמה 250/300 גרם,2020/05/03,06:00:00,2020/05/15,23:59:59,0,25,5
51,72906,075,7290100240632,113556,*פתית 2ב25ש 250/300ג,פתית תלמה 250/300 גרם,2020/05/03,06:00:00,2020/05/15,23:59:59,0,25,5
52,72906,075,7290100240656,113556,*פתית 2ב25ש 250/300ג,פתית תלמה 250/300 גרם,2020/05/03,06:00:00,2020/05/15,23:59:59,0,25,4.17
53,72906,075,8934878081798,113557,*דפי אורז 2ב15ש 400ג,דפי אורז 400 גרם ללא גלוטן,2020/05/03,06:00:00,2020/05/15,23:59:59,0,15,1.88
54,72906,075,8934878081811,113557,*דפי אורז 2ב15ש 400ג,דפי אורז 400 גרם ללא גלוטן,2020/05/03,06:00:00,2020/05/15,23:59:59,0,15,1.88
55,72906,075,7290000047621,113558,*גבינה ל. 3ב12ש 250ג 2מנות,גבינה לבנה 250 גרם תנובה 3%-5%-9%,2020/05/03,06:00:00,2020/05/15,23:59:59,0,12,1.60
56,72906,075,7290000047942,113558,*גבינה ל. 3ב12ש 250ג 2מנות,גבינה לבנה 250 גרם תנובה 3%-5%-9%,2020/05/03,06:00:00,2020/05/15,23:59:59,0,12,1.60
57,72906,075,7290000048185,113558,*גבינה ל. 3ב12ש 250ג 2מנות,גבינה לבנה 250 גרם תנובה 3%-5%-9%,2020/05/03,06:00:00,2020/05/15,23:59:59,0,12,1.60
58,72906,075,7290000048192,113558,*גבינה ל. 3ב12ש 250ג 2מנות,גבינה לבנה 250 גרם תנובה 3%-5%-9%,2020/05/03,06:00:00,2020/05/15,23:59:59,0,12,1.60
59,72906,075,1873779,113559,*גאודה  ב10ש ריץ  400ג עלמה,גאודה פרוס 400 גרם עלמה,2020/05/03,06:00:00,2020/05/15,23:59:59,0,10,2.50
60,72906,075,4131845,113560,*2+1 2מנות פיראוס מדף הזול מבנהים,מגוון מוצרי פיראוס תנובה מדף המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
61,72906,075,7290000048413,113560,*2+1 2מנות פיראוס מדף הזול מבנהים,מגוון מוצרי פיראוס תנובה מדף המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
62,72906,075,7290000048437,113560,*2+1 2מנות פיראוס מדף הזול מבנהים,מגוון מוצרי פיראוס תנובה מדף המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
63,72906,075,7290004120566,113560,*2+1 2מנות פיראוס מדף הזול מבנהים,מגוון מוצרי פיראוס תנובה מדף המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
64,72906,075,7290004120634,113560,*2+1 2מנות פיראוס מדף הזול מבנהים,מגוון מוצרי פיראוס תנובה מדף המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
65,72906,075,7290004122676,113560,*2+1 2מנות פיראוס מדף הזול מבנהים,מגוון מוצרי פיראוס תנובה מדף המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
66,72906,075,7290004128333,113560,*2+1 2מנות פיראוס מדף הזול מבנהים,מגוון מוצרי פיראוס תנובה מדף המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
67,72906,075,7290014759534,113560,*2+1 2מנות פיראוס מדף הזול מבנהים,מגוון מוצרי פיראוס תנובה מדף המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
68,72906,075,7290110325701,113560,*2+1 2מנות פיראוס מדף הזול מבנהים,מגוון מוצרי פיראוס תנובה מדף המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,0,0
69,72906,075,7290010328246,113561,*טחינה 3ב20ש 500ג אחווה,טחינה 500 גרם אחווה,2020/05/03,06:00:00,2020/05/15,23:59:59,0,20,1.33
70,72906,075,7290010328253,113561,*טחינה 3ב20ש 500ג אחווה,טחינה 500 גרם אחווה,2020/05/03,06:00:00,2020/05/15,23:59:59,0,20,1.33
71,72906,075,7290003902163,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,2.50
72,72906,075,7290006374738,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,2.94
73,72906,075,7290010429301,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,4
74,72906,075,7290100859162,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,5
75,72906,075,7290104061219,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,8.33
76,72906,075,7290106520066,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,8.33
77,72906,075,7290106662186,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,2.86
78,72906,075,7290106663008,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,7.69
79,72906,075,7290106729162,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,8.33
80,72906,075,7290112331946,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,8.33
81,72906,075,7290112332691,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,5
82,72906,075,7290112335487,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,7.41
83,72906,075,7290112335494,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,7.41
84,72906,075,7290112335500,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,7.41
85,72906,075,7290112340122,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,7.41
86,72906,075,7290112342348,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,7.69
87,72906,075,7290112344007,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,9.52
88,72906,075,7290112346537,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,5
89,72906,075,7290112347602,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,7.69
90,72906,075,8754682,113563,*3ב30 מגוון מוצרי עלית המשתתפים,מגוון מוצרי עלית המשתתפים,2020/05/03,06:00:00,2020/05/15,23:59:59,0,30,2.86
91,72906,075,7290013585349,113564,"*מקס/קרלסברג ב24.90ש 2מנות 330מ""ל 1/6","קרלסברג שישייה 330 מ""ל",2020/05/03,06:00:00,2020/05/15,23:59:59,0,24.90,7
