,ChainID,StoreID,ItemCode,PromotionID,PromotionDescription,PromotionStartDate,PromotionStartHour,PromotionEndDate,PromotionEndHour,MinQty,DiscountedPrice,DiscountedPricePerMida
0,72906,,7290017687117,,"*צלחות 2ב30ש 1ק""ג עבות במיוחד קבוע :",2020/01/18,06:00:00,2023/01/01,23:59:59,2,30,0.23
1,72906,,4770237049290,,גלידה 3ב10.90 בודדים,2019/12/04,06:00:00,2023/01/01,06:00:00,3,10.90,6.26
2,72906,,4770237049443,,גלידה 3ב10.90 בודדים,2019/12/04,06:00:00,2023/01/01,06:00:00,3,10.90,5.19
3,72906,,4770237049450,,גלידה 3ב10.90 בודדים,2019/12/04,06:00:00,2023/01/01,06:00:00,3,10.90,5.19
4,72906,,4770237050432,,גלידה 3ב10.90 בודדים,2019/12/04,06:00:00,2023/01/01,06:00:00,3,10.90,5.19
5,72906,,4770237052092,,גלידה 3ב10.90 בודדים,2019/12/04,06:00:00,2023/01/01,06:00:00,3,10.90,4.27
6,72906,,4810168038267,,גלידה 3ב10.90 בודדים,2019/12/04,06:00:00,2023/01/01,06:00:00,3,10.90,5.59
7,72906,,4810168045432,,גלידה 3ב10.90 בודדים,2019/12/04,06:00:00,2023/01/01,06:00:00,3,10.90,5.59
8,72906,,4820015165213,,גלידה 3ב10.90 בודדים,2019/12/04,06:00:00,2023/01/01,06:00:00,3,10.90,4.04
9,72906,,4820154725576,,גלידה 3ב10.90 בודדים,2019/12/04,06:00:00,2023/01/01,06:00:00,3,10.90,4.04
10,72906,,4820154727938,,גלידה 3ב10.90 בודדים,2019/12/04,06:00:00,2023/01/01,06:00:00,3,10.90,4.27
11,72906,,4823077617041,,חטיפי שוקולד 5ב10 באטונציק קרמל/רום,2019/12/02,06:00:00,2023/01/01,06:00:00,5,10,5
12,72906,,4823077622984,,שוקולד 3ב10 חלב נוגט,2019/12/02,06:00:00,2023/01/01,06:00:00,3,10,3.70
13,72906,,4823077623714,,סוכריות 2ב10 קורובקה/כוס חלב 150/205גר,2019/12/02,06:00:00,2023/01/01,06:00:00,2,10,3.33
14,72906,,7290000631424,,פרגיות 2ב120ש עוף טרי,2020/03/08,06:00:00,2022/01/01,06:59:00,2,120,120
15,72906,,7622010001858,,אוראו 2ב15ש קרם וניל  :,2020/05/03,06:00:00,2020/05/30,23:59:59,2,15,4.26
16,72906,,5904941751302,,בלו 8ב20ש מ.א. סד. רגולר קבוע :,2020/04/30,06:00:00,2022/01/01,23:59:59,8,20,0.88
17,72906,,5904941751845,,בלו 8ב20ש מ.א. סד. רגולר קבוע :,2020/04/30,06:00:00,2022/01/01,23:59:59,8,20,0.88
18,72906,,7290014094789,,קבוקים 3ב10ש /בוטן/גרין 150ג המוץג קבוע,2019/05/09,06:10:00,2023/01/01,23:59:59,3,10,1.96
19,72906,,7290014471177,,קבוקים 3ב10ש /בוטן/גרין 150ג המוץג קבוע,2019/05/09,06:10:00,2023/01/01,23:59:59,3,10,2.22
20,72906,,5076,,אנטריף ב69.90 טרי,2019/11/28,06:00:00,2023/01/01,23:59:59,1,69.90,0
21,72906,,41268,,אסאדו עם עצם 2ב120 טרי,2019/11/28,06:00:00,2023/01/01,06:00:00,2,120,0
22,72906,,7290113861497,,"שמן ז. 2ב49.90ש 2מנות 750מ""ל קבוע :",2020/03/24,06:00:00,2022/01/01,23:59:59,2,49.90,0
23,72906,,7290005896415,,"בירה איגל 4ב21 500מ""ל  קבוע !",2020/02/02,06:00:00,2023/01/01,06:00:00,4,21,0.99
24,72906,,7290006229588,,"בירה איגל 4ב21 500מ""ל  קבוע !",2020/02/02,06:00:00,2023/01/01,06:00:00,4,21,1.50
25,72906,,7290005896460,,"בירה איגל 4ב24 500מ""ל  חזקה 7.8% קבוע !",2018/11/28,06:00:00,2023/01/01,06:00:00,4,24,1.73
26,72906,,2129479,,*פיצה 3ב25ש איטלקית דקה,2020/05/03,06:00:00,2020/05/15,23:59:59,3,25,2.60
27,72906,,2507604,,*פיצה 3ב25ש איטלקית דקה,2020/05/03,06:00:00,2020/05/15,23:59:59,3,25,2.60
28,72906,,7290003457922,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,0
29,72906,,7290003457946,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,0
30,72906,,7290003457953,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,0
31,72906,,7290010569120,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,0
32,72906,,7290107647595,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,6.10
33,72906,,7290107649698,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,5.88
34,72906,,7290107649827,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,5.88
35,72906,,7290107649858,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,5.88
36,72906,,7290112499639,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,4.55
37,72906,,7290112499745,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,5.56
38,72906,,7290112499820,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,5.88
