,ItemName,ManufactureName,UnitQty,Quantity,QtyInPackage,ItemPrice,UnitOfMeasurePrice
0,דג פילה סלמון טרי,ח.י. מעדני גורמה בעמ,"ק""ג",,1,99.90,99.90
1,בצל יבש,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,3.90,3.90
2,בצל לבן,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,3.90,3.90
3,בטטה,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,10.90,10.90
4,כרוב אדום,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,4.90,4.90
5,סלק אדום,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,5.90,5.90
6,קישואים.,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,7.90,7.90
7,קולורבי,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,3.90,3.90
8,שומר,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,7.90,7.90
9,קנה 3יינות יקב רמת הגולן/הרי גליל קבל,היכל היין שקד גולן בעמ,"י""ח",,1,7.90,7.90
10,קוקטייל עוף טרי מקוצב,ח.י. מעדני גורמה בעמ,"ק""ג",,1,42.90,42.90
11,"תמרים בקרטון 5ק""ג",טוב המושב,"י""ח",,1,59.90,59.90
12,קישואים,פלאפל הגשר מרכז,"ק""ג",,1,7.90,7.90
13,יופלה תות 3%,תנובה בעמ ***,"י""ח",,1,4.80,3.20
14,יופלה פטל,תנובה בעמ ***,"י""ח",,1,5,3.33
15,יופלה דובדבן,תנובה בעמ ***,"י""ח",,1,4.80,3.20
16,יופלה אפרסק,תנובה בעמ ***,"י""ח",,1,4.80,3.20
17,שיפודי  פרגיות**.,ח.י. מעדני גורמה בעמ,"ק""ג",,1,69.90,69.90
18,סטייק פרגיות  עוף טרי**,ח.י. מעדני גורמה בעמ,"ק""ג",,1,69.90,69.90
19,פרגית עוף לתנור עם עצם טרי**,ח.י. מעדני גורמה בעמ,"ק""ג",,1,44.90,44.90
20,בשר טחון טרי מנתח מובחר,ח.י. מעדני גורמה בעמ,"ק""ג",,1,59.90,59.90
21,מוקה 1 ליטר תנובה,תנובה בעמ ***,"י""ח",,1,11.90,11.90
22,יוגורט תנובה 1.5% 200גרם,תנובה בעמ ***,"י""ח",,1,3,1.50
23,יוגורט תנובה 3% 200גרם,תנובה בעמ ***,"י""ח",,1,3,1.50
24,שוקו 1 ל`,תנובה בעמ ***,"י""ח",,1,11.90,11.90
25,תות קפוא 300ג  סנפרוסט,תנובה בשר,"י""ח",,1,19.90,3.98
26,סמוטיז צהוב 300ג.,תנובה בשר,"י""ח",,1,16.90,5.63
27,סמוטיז ירוק 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
28,סמוטיז אדום 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
29,שייק תות בננה  300ג.,תנובה בעמ ***,"י""ח",,1,17.90,5.97
30,שייק קייל מנגו בננה ופפאיה 300ג,תנובה בשר,"י""ח",,1,17.90,5.97
31,אוכמניות כחולות  מוקפאות 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
32,מיקס פירות יער מוקפא  300ג,תנובה בשר,"י""ח",,1,16.90,5.63
33,אננס מוקפא 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
34,מנגו מוקפא 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
35,פטל שחור מוקפא 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
36,דודבן חמוץ  מוקפא  300ג,תנובה בשר,"י""ח",,1,16.90,5.63
37,לקט ירקות לתנור}סנפרוסט{,תנובה בשר,"י""ח",,1,22.90,2.86
38,לקט לעוף 800גרם סנפרוסט,תנובה בשר,"י""ח",,1,22.90,2.86
39,לקט לפשטידה }800 סנפרוסט{,תנובה בשר,"י""ח",,1,21.90,2.74
40,גזר גמדי 800 גרם,תנובה בשר,"י""ח",,1,17.90,2.24
41,~שעועית חתוכה ירוקה 800 ג`,תנובה בשר,"י""ח",,1,17.90,2.24
42,שעועית צהובה חתוכה 800 ג`,תנובה בשר,"י""ח",,1,17.90,2.24
43,כרובית 800 גרם}סנפרוסט{,תנובה בשר,"י""ח",,1,24.90,3.11
44,תרד עלים 800 גרם,תנובה בשר,"י""ח",,1,23.90,2.99
45,תרד מדליון 800 גרם,תנובה בשר,"י""ח",,1,24.90,3.11
46,"שעועית   לבנה}סנפרוסט {1ק""ג",תנובה בשר,"י""ח",,1,18.90,18.90
47,גרגירי  חומוס(סנפרוסט{ 800גר,תנובה בשר,"י""ח",,1,19.90,2.49
48,"קלחונים תירס 1 ק""ג",תנובה בשר,"י""ח",,1,19.70,19.70
49,לקט לקוסקוס}סנפרוסט{,תנובה בשר,"י""ח",,1,22.90,2.86
50,לקט ירקות מעו}סנפרוסט{,תנובה בשר,"י""ח",,1,22.90,2.86
51,לקט נורמנדי 800 גסנפרוסט,תנובה בשר,"י""ח",,1,22.90,2.86
52,ארטישוק   תחתיות}סנפרוסט{400גר,תנובה בשר,"י""ח",,1,20.90,5.23
53,דג סלמון קפוא מנות תנובה 6*200גר,תנובה בשר,"ק""ג",,1,99.90,99.90
54,"כיפלי גריל בד""ץ 70 גרם",יוניליוור ישראל שיווק בעמ,"י""ח",,1,3.90,5.57
55,כיפלי חטיף בצל,יוניליוור ישראל שיווק בעמ,"י""ח",,1,3.90,5.57
56,"קוקומן בד""ץ 500 כדורים",יוניליוור ישראל שיווק בעמ,"י""ח",,1,19.90,3.98
